Rating,Difficulty,Directions,Duration,Title,Category,Picture
4.7,1,Step 1: Preheat oven to 350°. Grease a 13x9 glass baking dish with oil. Step 2: Bring a large pot of water to a boil over high heat. Add pasta and 2 tablespoons salt and cook (stirring occasionally) until al dente; 7 to 9 minutes (pasta should still be slightly undercooked in the center). Drain pasta; set aside. Step 3: Meanwhile; in a large skillet over medium heat; heat 1 tablespoon oil. Add sausage and cook; breaking into bite-size pieces; until browned and cooked through; 4 to 5 minutes. Transfer sausage to a medium bowl; leaving as much fat in skillet as possible. Step 4: In same skillet over medium heat; combine mushrooms and 1 tablespoon oil; season with 1/2 teaspoon salt. Cook (tossing occasionally) until browned; 5 to 6 minutes. Transfer mushrooms to bowl with sausage. Step 5: In same skillet over medium heat; cook onion; garlic; 1/2 teaspoon salt; and remaining 2 tablespoons oil; stirring occasionally; until onion is softened; 4 to 5 minutes. Stir in tomato sauce; diced tomatoes; oregano; basil; red pepper flakes; and remaining 1 teaspoon salt. Remove 2 cups sauce and reserve. Fold bell peppers and cooked sausage; mushrooms; and reserved pasta into remaining sauce. Cook (stirring) until heated through; 1 to 2 minutes more. Step 6: Pour half of pasta mixture into prepared casserole dish. Sprinkle with 1 cup mozzarella. Top with remaining pasta mixture. Pour reserved 2 cups sauce over. Step 7: Cover pan with foil and bake until hot and bubbling around the edges; about 20 minutes. Remove foil; top with remaining 2 cups mozzarella; then pepperoni; and continue to bake until cheese is melted and pepperoni is browned; 15 to 20 minutes more.,80,Pizza Casserole,Lunch,pizza_casserole.png
4.3,1,Step 1: Preheat oven to 400°. In a small saucepan; prepare rice according to package instructions. Step 2: Meanwhile; in a large skillet over medium heat; heat oil. Cook onion (stirring occasionally) until softened; about 7 minutes. Stir in garlic and tomato paste and cook; stirring; until fragrant; about 1 minute more. Add ground beef and cook; breaking up meat with a wooden spoon; until no longer pink; about 6 minutes. Drain excess fat. Step 3: Stir in rice and diced tomatoes; season with oregano; salt; and pepper. Let simmer (stirring occasionally) until liquid has reduced slightly; about 5 minutes. Step 4: Arrange peppers cut side up in a 13x9 baking dish and drizzle with oil. Spoon beef mixture into each pepper. Top with cheese$ then cover baking dish with foil. Step 5: Bake peppers until tender; about 35 minutes. Uncover and continue to bake until cheese is bubbly; about 10 minutes more. Step 6: Top with parsley before serving.,90,Stuffed Peppers,Lunch,stuffed_peppers.png
4.5,1,Step 1: Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x5-inch loaf pan with nonstick spray; line bottom and sides with parchment paper; and spray again with nonstick cooking spray. Set aside. Step 2: Whisk eggs; sweetened condensed milk; lemon juice; and lemon zest in a bowl. Add flour and mix just until flour is moistened. Pour batter into the prepared loaf pan. Step 3: Bake in the preheated oven until a toothpick inserted in the center comes out clean; 55 to 65 minutes. Cool completely on a wire rack before removing from the pan.,75,4 Ingredient Lemon Pound Cake,Dessert,4_ingredient_lemon_pound_cake.png
5,2,Step 1: Preheat an air fryer to 325 degrees F (165 degrees C) according to manufacturers instructions. Add sugar and cinnamon to a large resealable plastic bag; and shake to combine. Step 2: Remove the 8 cinnamon rolls from the can; and set icing aside. Cut each roll into 4 equal pieces for a total of 32 bites. Step 3: Line the fryer basket with parchment paper. Place the bites in a single layer in the bottom of the basket; cook for 3 minutes; turn over using tongs; and cook until golden brown; another 2 to 3 minutes. Depending on the brand and size of your air fryer; you may have to cook in batches; and your timing may vary; so watch closely. Step 4: Meanwhile; prepare the dip. Add cream cheese; confectioners sugar; orange zest; orange juice; and the packaged icing to a small bowl. Beat with an electric mixer on medium speed until you reach a dipping consistency; about 1 minute. Step 5: Drop the warm pieces into the sugar-cinnamon mixture; and shake. Transfer to a plate or basket; and serve with the dip.,15,Air Fryer Cinnamon Roll Bites,Dessert,air_fryer_cinnamon_roll_bites.png
4.8,3,Step 1: Preheat the oven to 325 degrees F (165 degrees C). Grease and flour a 12-cup fluted tube pan (such as Bundt). Step 2: Cream sugar and butter in a large mixing bowl on medium speed until light and fluffy; about 5 minutes. Add eggs (one at a time) beating for 45 seconds after each addition. Add vanilla extract and beat for 30 seconds. Step 3: Combine flour; baking powder; salt; and nutmeg in a medium bowl. Add 1/2 of the flour mixture to the butter mixture and mix on low speed until just blended. Add 1/2 cup milk and beat on low speed until just blended. Scrape the sides of the bowl with a spatula between each addition. Repeat with remaining flour mixture and milk. Step 4: Pour batter into the prepared baking pan; filling no more than 2/3 full. Smooth the top with a spoon or a spatula. Step 5: Bake in the preheated oven until a toothpick inserted into the center comes out clean and the cake is just starting to pull away from the sides of the pan; about 1 hour and 25 minutes. Step 6: Remove from the oven and allow to cool for about 15 minutes before inverting onto a plate. Allow to cool completely before serving.,115,Homemade Pound Cake,Dessert,homemade_pound_cake.png
4.7,3,Step 1: Gather all ingredients. Step 2: Preheat the oven to 375 degrees F (190 degrees C). Step 4: Combine sweetened condensed milk; key lime juice; and egg yolks in a large bowl; mix well. Step 5: Pour mixture into unbaked graham cracker crust. Step 6: Bake in the preheated oven until filling is set; about 15 minutes. Step 7: Allow to cool completely before slicing.,35,Easy Key Lime Pie,Dessert,easy_key_lime_pie.png
4.7,1,Step 1: Preheat the oven to 350 degrees F (180 degrees C). Step 2: Mix graham crumbs; butter; and 1/4 cup sugar together in a large bowl. Step 3: Press crumbs onto bottom of 9-inch springform pan. Step 4: Beat cream cheese and remaining sugar in large bowl with mixer until blended. Add sour cream and vanilla; mix well. Step 5: Add eggs (1 at a time) beating on low speed after each addition just until blended. Step 6: Pour mixture over crust. Step 7: Bake in the preheated oven until the center is almost set; about 1 hour to 1 hour 10 minutes. Run knife around rim of pan to loosen cake; cool before removing rim. Refrigerate cheesecake 4 hours. Step 8: Top with pie filling before serving.,315,Our Best Cheesecake,Dessert,our_best_cheesecake.png
5,2,1. Whisk eggs$ buttermilk and oil together$ 2. Add dry ingredients and whisk,15,Buttermilk Pancakes,Breakfast,buttermilk_pancake.jpg
5,1,1. Cook sugar$ buttermilk$ butter to boil$ 2. Turn off heat and stir in soda and vanilla until frothy,10,Buttermilk Syrup,Breakfast,buttermilk_syrup.jpg
5,1,1. Prepare 4 frozen buttermilk biscuits according to package directions. 2. Meanwhile$ in a large mason jar$ shake together chicken stock$ whole milk$ flour$ and poultry seasoning. Cook onion and carrots in butter in a large saucepan over medium-high heat until softened$ 2 to 3 minutes. Slowly whisk in milk mixture. Bring to a boil$ reduce heat$ and simmer$ stirring often$ until thickened$ 6 to 8 minutes. 3. Stir in shredded rotisserie chicken$ green beans$ and flat-leaf parsley and cook until warm$ 4 to 5 minutes. Season with kosher salt and black pepper. Serve topped with biscuits.,20,Stovetop Chicken Pot Pie,Dinner,
4,2,1. Add wet ingredients and whisk together 2. Get a sloped pan and butter well 3. Pour batter and tilt the pan to create a large thin circle 4. Flip when brown$ enjoy with cream$ jam or your favorite toppings!,15,Crepes,Breakfast,crepes.jpg
5,2,1. Cream sugar and butter 2. add eggs and lemon juice then beat together 3. add flour and salt 4. Put a small scoop of batter into each section of waffle iron,10,Belgian Waffles,Breakfast,belgian_waffle.jpg
5,2,1. Put butter in 9x13 pan and melt in oven 2. Mix milk$ eggs and salt in blender$ add flour and blend 3. Pour batter into pan with melted butter and bake for 20 minutes,30,German Pancake,Breakfast,german_pancake.jpg
4.5,2.5,1. Spoon batter into cupcake papers 2. Bake at 350 for 30-35 minutes (dont overcook) 3. optional: make a glaze with 1 tsp. cinnamon$ 2 cups powdered sugar and 5 tbsp. hot hipping cream,45,Pumpkin Muffins,Breakfast,pumpkin_muffins.jpg
4,3,1. Combine water sugar and yeast in large bowl 2. When bubbles form add oil flour and salt and form into a ball 3. Place ball into greased bowl and cover with plastic wrap and allow to raise 30-40 minutes 4. Place dough on floured surface and roll into rectangle then cut strips and put on greased pan. 5. Brush on melted butter and garlic and let rise for 20-30 minutes 6. Bake at 400 for 12-15 then add more butter and garlic and parmesean,75,Bread Sticks,Dinner,breadsticks.jpg
4,3,1. In small bowl add warm water and yeast 2. In large bowl add flour$ salt$ baking powder$ sugar and shortening 3. Make a well in the middle of the flour mixture and pour in milk and yeast mixture$ rise for 20 minutes 4. Turn out dough on foured surface and knead adding enough flour to not be sticky 5. Roll out dough and cut squares 6. fry in hot oil$ allowing it to pop open then flip.,45,Scones,Dinner,scones.jpg
5,2,1. Mix milk$ water and egg together and microwave until warm 2. In bowl add 2 cups flour$ yeast and sugar then add wet mixture 3. Add the rest of the flour and form into a ball and let rise for 15-30 minutes 4. divide into 3 and roll out into large ciricles and top with sauce and cheese 5. Slice into triangles and add pepperoni and other toppings to each triangle then roll up into a crescent roll 6. place on greased pan and bake at 350 for 12-15 minutes.,45,Pizza Rolls,Lunch,pizza_rolls.jpg
4,2,1. Mix warm water$ yeast and sugar in bowl and allow to bubble 2. Add salt$ olive oil and flour and stir well let sit for 20-30 minutes 3. Knead dough and seperate into 2 balls 4. Spread out onto pan and add desired toppings then bake at 400 for 12-15 minutes,45,Pizza Dough,Dinner,pizza_dough.jpg
4.5,3,1. Mix seperate the  wet ingredients and dry ingredients 2. Slice chicken breast in half both ways to get 4 pieces 3. cover in wet mixture then dry and repeat 4. fry chicken until brown and cripsy$ serve with Sticky Finger Sauce.,25,Chicken Sticky Fingers,Dinner,sticky_fingers.jpg
4,1,1. Put all ingredients together and microwave to dissolve the sugar,5,Sticky Finger Sauce,Dinner,sticky_sauce.jpg
5,4,1. Combine flour$ salt and pepper then dip chicken cubed in egg and then flour mixture 2. Fry in batches in hot oil 3. In saucepan combine water$ OJ$ lemon juice$ rice vinegar and soy sauce then heat for a few minutes 4. Stir in brown sugar$ ginger$ garlic and onion 5. combine corn starch with water then mix in and pour over chicken. Serve with rice.,30,Orange Chicken,Dinner,orange_chicken.jpg
4,2,1. Boil pasta and drain 2. Cook chicken and cube 3. Make pesto packet (follow instructions on the back) 4. Mix all together,20,Pesto Chicken,Dinner,pesto_chicken.jpg
3.7,1,Mix well and server with vegetables,10,Dill Weed Dip,Side,dill_weed_dip.jpg
4.6,2,Take a large bowl and mix frozen hash browns$ ham$ and cheese together. In a small bowl mix beaten eggs$ milk$ and salt. Combine all together in the large bowl and mix well. Spread in a greased glass casserole dish and bake at 350 degrees for 75 minutes.,90,Staceys Breakfast Casserole,Breakfast,staceys_breakfast_casserole.jpg
4.2,1,Ranch Dressing mixed with Taco Sauce (Stir until desired taste),10,Taco Salad,Dinner,taco_salad.jpg
4.5,3,Brown meat with onion in a large pan. Add all other ingredients$ including the water in the cans to the meat and simmer on low in a crock-pot for 2.5 hours,140,Taco Soup,Dinner,taco_soup.jpg
