Title,Ingredients,Directions,Picture,
Zucchini Ginger Cupcakes,"['1/3 cup crystallized ginger (1 3/4 oz), coarsely chopped', '2 cups all-purpose flour', '1 teaspoon ground ginger', '1 teaspoon ground cinnamon', '1 teaspoon finely grated fresh orange zest', '1 teaspoon salt', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '2 cups coarsely grated zucchini (2 medium)', '3/4 cup mild olive oil', '3/4 cup mild honey', '2 large eggs, lightly beaten', '1 teaspoon vanilla', '8 oz cream cheese, softened', '2 tablespoons unsalted butter, softened', '1/2 cup confectioners sugar', '1 teaspoon vanilla', '1/2 teaspoon ground ginger', '1/2 teaspoon ground cinnamon', '1/2 teaspoon finely grated fresh orange zest', 'a muffin pan with 12 (1/2-cup) cups; 12 paper liners']","Put oven rack in middle position and preheat oven to 350°F. Line muffin cups with liners.
Pulse crystallized ginger in food processor until finely ground, then add flour, ground ginger, cinnamon, zest, salt, baking soda, and baking powder and pulse until combined.
Whisk together zucchini, oil, honey, eggs, and vanilla in a medium bowl, then stir in flour mixture until just combined.
Divide batter among muffin cups and bake until golden and a wooden pick or skewer inserted in center of a cupcake comes out clean, 20 to 24 minutes.
Cool in pan on a rack 10 minutes. Remove cupcakes from pan and cool completely, 1 hour.
Beat together frosting ingredients with an electric mixer at high speed until combined well and fluffy, 3 to 5 minutes.
Frost tops of cooled cupcakes.",zucchini-ginger-cupcakes-1222207,"['1/3 cup crystallized ginger (1 3/4 oz), coarsely chopped', '2 cups all-purpose flour', '1 teaspoon ground ginger', '1 teaspoon ground cinnamon', '1 teaspoon finely grated fresh orange zest', '1 teaspoon salt', '1 teaspoon baking soda', '1/2 teaspoon baking powder', '2 cups coarsely grated zucchini (2 medium)', '3/4 cup mild olive oil', '3/4 cup mild honey', '2 large eggs, lightly beaten', '1 teaspoon vanilla', '8 oz cream cheese, softened', '2 tablespoons unsalted butter, softened', '1/2 cup confectioners sugar', '1 teaspoon vanilla', '1/2 teaspoon ground ginger', '1/2 teaspoon ground cinnamon', '1/2 teaspoon finely grated fresh orange zest', 'a muffin pan with 12 (1/2-cup) cups; 12 paper liners']"
Zucchini Fritters,"['3 tablespoons unseasoned rice vinegar', '1 tablespoon reduced-sodium soy sauce', '1 1/2 teaspoons sugar', 'Crushed red pepper flakes', '1 1/2 pounds zucchini (about 3 medium), grated', '1/2 teaspoon kosher salt plus more for seasoning', '1 large egg', '1/4 cup all-purpose flour', '3 tablespoons finely chopped fresh chives', '1 tablespoon cornstarch', 'Freshly ground black pepper', '1/3 cup vegetable oil']","Mix vinegar, soy sauce, sugar, and a pinch of red pepper flakes in a small bowl until sugar is dissolved. Set aside.
Place zucchini in a colander set in the sink and toss with 1/2 teaspoon salt. Let stand 10 minutes, then wring zucchini dry in a clean kitchen towel. Place zucchini in a large bowl and gently mix in egg, flour, chives, and cornstarch; season with salt and pepper.
Heat oil in a large skillet over medium heat. Working in 2 batches, drop 1/4-cupfuls zucchini mixture into skillet, flattening slightly; cook until golden and crisp, about 3 minutes per side. Transfer fritters to a paper towel-lined plate; season with salt. Serve with soy dipping sauce.
DO AHEAD: Fritters can be made 30 minutes ahead. Keep warm in a 200°F oven.",zucchini-fritters-51175210,"['3 tablespoons unseasoned rice vinegar', '1 tablespoon reduced-sodium soy sauce', '1 1/2 teaspoons sugar', 'Crushed red pepper flakes', '1 1/2 pounds zucchini (about 3 medium), grated', '1/2 teaspoon kosher salt plus more for seasoning', '1 large egg', '1/4 cup all-purpose flour', '3 tablespoons finely chopped fresh chives', '1 tablespoon cornstarch', 'Freshly ground black pepper', '1/3 cup vegetable oil']"
Zucchini Frittata with Blossoms,"['12 large eggs', '1 cup freshly grated Parmesan', '2 medium zucchini, rinsed and cut into 2-inch-long julienne strips (about 3 cups)', '3 tablespoons olive oil', '1 onion, chopped fine', '3 garlic cloves, minced', '1 1/2 tablespoons fresh thyme leaves or 1/2 teaspoon dried, crumbled', '6 to 8 zucchini blossoms, pistils removed if desired']","In a bowl whisk together the eggs, add 1/2 cup of the Parmesan and salt and pepper to taste, and whisk the mixture until it is combined well. In a 12-inch non-stick skillet sauté the zucchini in 2 tablespoons of the oil over moderately high heat, stirring until it is softened and transfer it with a slotted spoon to a small bowl. Add the remaining 1 tablespoon oil to the skillet and in it cook the onion and the bell pepper with salt and pepper to taste over moderate heat, stirring, until the vegetables are softened. Add the garlic and the thyme and cook the mixture, stirring, for 1 minute. Stir in the zucchini, pour in the egg mixture, and arrange the zucchini blossoms decoratively on the surface.
Preheat the broiler. Cook the frittata over moderate heat, without stirring, for 12 to 15 minutes, or until the edge is set but the center is still soft, and sprinkle the remaining 1/2 cup Parmesan over the top. (If the skillet handle is plastic, wrap it in a double thickness of foil.) Broil the frittata under the broiler about 4 inches from the heat for 2 to 3 minutes, or until the cheese is bubbling and golden. Let the frittata cool in the skillet for 5 minutes, run a thin knife around the edge, and slide the frittata onto a serving plate. Cut the frittata into wedges and serve it warm or at room temperature.",zucchini-frittata-with-blossoms-12522,"['12 large eggs', '1 cup freshly grated Parmesan', '2 medium zucchini, rinsed and cut into 2-inch-long julienne strips (about 3 cups)', '3 tablespoons olive oil', '1 onion, chopped fine', '3 garlic cloves, minced', '1 1/2 tablespoons fresh thyme leaves or 1/2 teaspoon dried, crumbled', '6 to 8 zucchini blossoms', 'pistils removed if desired']"
Zucchini Dill Pickles,"['2 pounds small zucchini (preferably about 4"" or 8"" long), trimmed', '4 tablespoons coarse sea salt or pickling salt, divided', '12 fresh dill sprigs', '2 teaspoons yellow or brown mustard seeds', '1 teaspoon coriander seeds', '1 teaspoon dill seeds', '1/4 teaspoon saffron threads', '4 garlic cloves, halved', '4 red jalapeños or Fresno chiles, split lengthwise', '2 1/2 cups white wine vinegar', '1/4 cup sugar']","If using 4"" zucchini, halve lengthwise. If using 8"" zucchini, halve crosswise, then quarter lengthwise. Place in a large bowl. Add 2 tablespoons salt and 4 cups ice. Add cold water to cover. Top with a plate to keep submerged. Let sit for 2 hours. Drain; rinse.
Divide dill sprigs and next 6 ingredients between 2 clean, hot 1-quart jars; set aside.
Bring vinegar, sugar, remaining 2 tablespoons salt, and 1 1/4 cups water to a boil in a large saucepan. Working in batches, add zucchini and cook, stirring occasionally, until khaki in color and slightly pliable, about 2 minutes. Using tongs, transfer zucchini to jars.
Divide hot syrup between jars to cover zucchini, leaving 1/2"" space on top. Wipe rims, seal, and process in a boiling water bath for 10 minutes. Allow at least a week to pickle before eating.",zucchini-dill-pickles-366756,"['2 pounds small zucchini (preferably about 4"" or 8"" long), trimmed', '4 tablespoons coarse sea salt or pickling salt, divided', '12 fresh dill sprigs', '2 teaspoons yellow or brown mustard seeds', '1 teaspoon coriander seeds', '1 teaspoon dill seeds', '1/4 teaspoon saffron threads', '4 garlic cloves, halved', '4 red jalapeños or Fresno chiles, split lengthwise', '2 1/2 cups white wine vinegar', '1/4 cup sugar']"
Zucchini Cornbread,"['1/2 cup (1 stick) unsalted butter plus more for pan', '2 large eggs, lightly beaten', '1/2 cup buttermilk', '1 large zucchini (about 10 ounces)', '1 cup all-purpose flour', '1/2 cup whole wheat flour', '1/2 cup sugar', '1 teaspoon baking powder', '3/4 teaspoon fine sea salt', '1/2 teaspoon baking soda', '3/4 cup medium-grind cornmeal']","Position a rack in the middle of oven and preheat to 350°F. Butter a 9x5x3"" loaf pan.
Melt 1/2 cup butter in a small saucepan over medium-high heat. Continue cooking until butter solids at bottom of pan turn golden brown, about 3 minutes. Scrape butter into a medium bowl. Set aside and let cool. Whisk in eggs and buttermilk.
Trim zucchini ends. Thinly slice five 1/8"" rounds from 1 end of zucchini and reserve for garnish. Coarsely grate remaining zucchini. Add to bowl with butter mixture and stir until well blended.
Sift both flours, sugar, baking powder, salt, and baking soda into a large bowl. Whisk in cornmeal. Add zucchini mixture; fold just to blend (mixture will be very thick). Transfer batter to prepared pan and smooth top. Place reserved zucchini slices atop batter down center in a single layer.
Bake bread until golden and a tester inserted into center comes out clean, 55-65 minutes. Let cool in pan 10 minutes. Remove from pan; let cool completely on a wire rack. DO AHEAD: Can be made 1 day ahead. Store airtight at room temperature.",zucchini-cornbread-366395,"['1/2 cup (1 stick) unsalted butter plus more for pan', '2 large eggs, lightly beaten', '1/2 cup buttermilk', '1 large zucchini (about 10 ounces)', '1 cup all-purpose flour', '1/2 cup whole wheat flour', '1/2 cup sugar', '1 teaspoon baking powder', '3/4 teaspoon fine sea salt', '1/2 teaspoon baking soda', '3/4 cup medium-grind cornmeal']"
"Zucchini, Corn, and Basil Fusilli with Bacon","['6 bacon slices', '1 pound fusilli', '3 ears corn, kernels cut from cob', '1 1/2 pounds zucchini, coarsely chopped (1/2-inch pieces)', '1 (5- to 7-ounce) container basil pesto', 'Grated Parmigiano-Reggiano']","Cook bacon in a 12-inch heavy skillet over medium heat, turning occasionally, until crisp. Drain on paper towels; discard drippings from skillet.
Meanwhile, cook fusilli in a pasta pot of boiling salted water (3 tablespoons salt for 6 quart water) until al dente. Reserve 1/2 cup pasta-cooking water, then add vegetables to pasta in pot and cook, partially covered, 2 minutes (water will stop boiling). Drain.
Add pasta with vegetables to skillet along with pesto and 1/4 cup reserved cooking water and toss. Season with salt and moisten with additional cooking water if necessary.
Top with crumbled bacon and a generous amount of freshly ground pepper.",zucchini-corn-and-basil-fusilli-with-bacon-242838,"['6 bacon slices', '1 pound fusilli', '3 ears corn, kernels cut from cob', '1 1/2 pounds zucchini, coarsely chopped (1/2-inch pieces)', '1 (5- to 7-ounce) container basil pesto', 'Grated Parmigiano-Reggiano']"
Zucchini Carpaccio with Homemade Ricotta Cheese,"['5 medium zucchini, trimmed', 'Coarse kosher salt', 'Freshly ground black pepper', '2 green onions, thinly sliced', '3 tablespoons fresh lemon juice', '3 tablespoons extra-virgin olive oil', 'Homemade Ricotta Cheese', '2 tablespoons chopped fresh basil']","Using knife or V-slicer, cut zucchini into paper-thin rounds. Arrange rounds, slightly overlapping, on large platter. Sprinkle lightly with coarse salt and pepper, then green onions. Whisk lemon juice and oil in small bowl. Drizzle dressing evenly over zucchini. Drop small spoonfuls of cheese all over zucchini. Sprinkle with basil and serve.",zucchini-carpaccio-with-homemade-ricotta-cheese-358198,"['5 medium zucchini, trimmed', 'Coarse kosher salt', 'Freshly ground black pepper', '2 green onions, thinly sliced', '3 tablespoons fresh lemon juice', '3 tablespoons extra-virgin olive oil', 'Homemade Ricotta Cheese', '2 tablespoons chopped fresh basil']"
Zucchini Carpaccio Salad,"['1 1/2 lb zucchini (about 3 large)', '1 1/4 teaspoons salt', '1/2 lb arugula, stems discarded and leaves cut into 1/2-inch-wide strips (6 cups)', '1 oz Parmigiano-Reggiano, coarsely grated (on large holes of a box grater; 1/2 cup)', '3 tablespoons extra-virgin olive oil', '1/4 teaspoon black pepper', 'an adjustable-blade slicer']","Cut zucchini crosswise into paper-thin slices with slicer.
Toss zucchini slices with 1 teaspoon salt in a large colander set over a bowl and let drain 20 minutes.
Rinse zucchini slices well, then drain, pressing gently on slices to extract any excess liquid. Pat zucchini slices dry with a kitchen towel.
Put arugula greens in a large bowl. Sprinkle with 1/4 cup Parmigiano-Reggiano and remaining 1/4 teaspoon salt. Drizzle 1 1/2 tablespoons of oil over greens and toss.
Arrange zucchini slices over arugula greens, then drizzle with remaining oil and sprinkle with remaining 1/4 cup Parmigiano-Reggiano and pepper.",zucchini-carpaccio-salad-1222192,"['1 1/2 lb zucchini (about 3 large)', '1 1/4 teaspoons salt', '1/2 lb arugula, stems discarded and leaves cut into 1/2-inch-wide strips (6 cups)', '1 oz Parmigiano-Reggiano, coarsely grated (on large holes of a box grater; 1/2 cup)', '3 tablespoons extra-virgin olive oil', '1/4 teaspoon black pepper', 'an adjustable-blade slicer']"
Zucchini Cakes with Smoked Trout,"['1 pound zucchini, trimmed, coarsely grated in processor', '1 teaspoon salt', '1/4 cup all purpose flour', '2 tablespoons finely grated Parmesan cheese', '2 tablespoons minced shallot', '1 large egg plus 1 large egg white, beaten to blend', '1/2 teaspoon freshly ground black pepper', 'Canola oil (for frying)', '1/3 cup (about) sour cream', '2 ounces smoked trout or smoked salmon, broken into 1 x 1/2-inch pieces', 'Chopped fresh dill']","Place zucchini in colander set over bowl; sprinkle with salt and toss to coat. Place small plate atop zucchini to weigh down. Let stand 30 minutes to drain.
Squeeze zucchini as dry as possible in kitchen towel. Transfer zucchini to medium bowl. Stir in flour, Parmesan, and shallot, then stir in beaten egg mixture and pepper.
Line large rimmed baking sheet with parchment paper. Brush large nonstick skillet with enough oil to coat; heat over medium-high heat. Working in batches, drop zucchini mixture into skillet by scant 1 tablespoonfuls, spacing apart. Using spatula, flatten cakes to 2-inch rounds. Cook until golden on bottom, brushing skillet with more oil as needed between batches, about 1 to 1 1/2 minutes per side. Transfer cakes to prepared baking sheet. DO AHEAD: Can be made 1 day ahead. Cool completely, then cover and chill. Rewarm uncovered in 325°F oven until heated through, about 10 minutes.
Place warm zucchini cakes on platter. Top each with small dollop of sour cream and piece of smoked trout. Sprinkle with chopped dill and serve.",zucchini-cakes-with-smoked-trout-359333,"['1 pound zucchini, trimmed, coarsely grated in processor', '1 teaspoon salt', '1/4 cup all purpose flour', '2 tablespoons finely grated Parmesan cheese', '2 tablespoons minced shallot', '1 large egg plus 1 large egg white, beaten to blend', '1/2 teaspoon freshly ground black pepper', 'Canola oil (for frying)', '1/3 cup (about) sour cream', '2 ounces smoked trout or smoked salmon, broken into 1 x 1/2-inch pieces', 'Chopped fresh dill']"
Zucchini-Blossom Quesadillas,"['3/4 cup chopped white onion', '1 garlic clove, finely chopped', '2 tablespoons vegetable oil', '1 medium tomato, chopped', '6 ounces zucchini blossoms, coarsely chopped (3 cups)', '2 cups corn tortilla flour (masa harina; 9 ounces)', '1 1/2 cups warm water', '7 ounces Oaxacan string cheese, shredded', 'Equipment: 2 (6-inch) squares cut from a 1-quarts sealable plastic bag; a tortilla press; a comal (flat metal griddle) or metal pizza pan (not nonstick)', 'Accompaniment: salsa']","Cook onion, garlic, and 1/2 teaspoon salt in oil in a large heavy skillet over medium heat, stirring, until onion is softened. Add tomato and cook, stirring occasionally, until tomato breaks down, 3 to 5 minutes. Add blossoms and 1/4 teaspoon salt, then cover and cook, stirring occasionally, until tender, 4 to 5 minutes.
Combine tortilla flour, water, and 1/4 teaspoon salt in a large bowl and knead until a uniform dough forms, about 1 minute.
Pinch off enough dough to form a 1 1/2-inch ball and transfer to a plate; dough should be moist but not sticky. If necessary, knead in a little more tortilla flour or water. Form remaining dough into about 13 (1 1/2-inch) balls, transferring to plate, and cover with plastic wrap.
Press 1 ball of dough between plastic squares in tortilla press to form a 5 1/2- to 6-inch tortilla (less than 1D16 inch thick). Peel off 1 plastic square, then, holding tortilla in your palm, put 1 rounded tablespoon cheese (1/2 ounce) on one side of tortilla and spread 1 rounded tablespoon filling in a flat layer over cheese, leaving a 3/4-inch border. Fold tortilla in half, using plastic square as an aid, and pinch edges to seal, flattening slightly.
Make more quesadillas in same manner, arranging them in 1 layer and covering with plastic wrap.
Very lightly oil comal (or pizza pan), then heat over medium-high heat until hot, about 2 minutes. Cook quesadillas, 3 at a time, until edges loosen from comal and brown spots appear on underside, 2 to 4 minutes, then turn over and cook, gently pressing quesadillas flat with a metal spatula if necessary, until brown spots appear on underside, 2 to 4 minutes more. Serve immediately with salsa on the side.",zucchini-blossom-quesadillas-239944,"['3/4 cup chopped white onion', '1 garlic clove, finely chopped', '2 tablespoons vegetable oil', '1 medium tomato, chopped', '6 ounces zucchini blossoms, coarsely chopped (3 cups)', '2 cups corn tortilla flour (masa harina; 9 ounces)', '1 1/2 cups warm water', '7 ounces Oaxacan string cheese, shredded', 'Equipment: 2 (6-inch) squares cut from a 1-quarts sealable plastic bag; a tortilla press; a comal (flat metal griddle) or metal pizza pan (not nonstick)', 'Accompaniment: salsa']"
Zucchini Blossom Frittata,"['20 zucchini blossoms, stems removed (about 3 ounces)', '3 tablespoons extra-virgin olive oil', '1/2 cup finely chopped onion', '1/2 teaspoon salt', ""1/2 teaspoon piment d'Espelette or"", '1/4 teaspoon cayenne pepper', '7 large eggs, whisked to blend', '1 tablespoon coarsely chopped fresh Italian parsley']","Gently rinse and dry zucchini blossoms. Preheat broiler.
Heat oil in 10-inch nonstick ovenproof skillet over medium-high heat. Add onion; reduce heat to medium and sauté until soft, about 4 minutes. Add blossoms and sauté just until wilted, turning often, about 1 minute. Sprinkle with salt and piment d'Espelette.
Spread blossoms in skillet in single layer; increase heat to medium-high. Add eggs and cook until beginning to set around edges, lifting frittata with heatproof rubber spatula and allowing eggs to flow underneath. Continue cooking until eggs are softly set, about 5 minutes. Transfer skillet to broiler; broil until top of frittata is set, 1 minute. Slide frittata onto platter. Sprinkle with parsley.",zucchini-blossom-frittata-242975,"['20 zucchini blossoms, stems removed (about 3 ounces)', '3 tablespoons extra-virgin olive oil', '1/2 cup finely chopped onion', '1/2 teaspoon salt', '""1/2 teaspoon piment dEspelette or"", 1/4 teaspoon cayenne pepper', '7 large eggs, whisked to blend', '1 tablespoon coarsely chopped fresh Italian parsley']"
Zucchini-Basil Soup,"['2 pounds zucchini, trimmed and cut crosswise into thirds', '3/4 cup chopped onion', '2 garlic cloves, chopped', '1/4 cup olive oil', '4 cups water, divided', '1/3 cup packed basil leaves', 'Equipment: an adjustable-blade slicer fitted with 1/8-inch julienne attachment']","Julienne skin (only) from half of zucchini with slicer; toss with 1/2 teaspoon salt and drain in a sieve until wilted, at least 20 minutes. Coarsely chop remaining zucchini.
Cook onion and garlic in oil in a 3- to 4-quarts heavy saucepan over medium-low heat, stirring occasionally, until softened, about 5 minutes. Add chopped zucchini and 1 teaspoon salt and cook, stirring occasionally, 5 minutes. Add 3 cups water and simmer, partially covered, until tender, about 15 minutes. Purée soup with basil in 2 batches in a blender (use caution when blending hot liquids).
Bring remaining cup water to a boil in a small saucepan and blanch julienned zucchini 1 minute. Drain in a sieve set over a bowl (use liquid to thin soup if necessary).
Season soup with salt and pepper. Serve in shallow bowls with julienned zucchini mounded on top.",zucchini-basil-soup-242831,"['2 pounds zucchini, trimmed and cut crosswise into thirds', '3/4 cup chopped onion', '2 garlic cloves, chopped', '1/4 cup olive oil', '4 cups water, divided', '1/3 cup packed basil leaves', 'Equipment: an adjustable-blade slicer fitted with 1/8-inch julienne attachment']"
Zucchini Bacon Fritters With Basil-Mayo Dipping Sauce,"['1 cup basil', '1 cup mayonnaise', '2 tablespoons water', '1 teaspoon fresh lemon juice', 'About 6 cups vegetable oil for frying', '1 1/2 cups all-purpose flour', '1/2 teaspoon baking powder', '1/8 teaspoon cayenne', '3 medium zucchini, chopped', '1/2 fresh jalapeño, stemmed and minced (including seeds)', '2 tablespoons finely chopped chives', '1 large egg, lightly beaten', '3/4 cup whole milk', '6 slices crisp-cooked bacon, finely chopped', 'A deep-fat thermometer']","Purée basil with mayonnaise, water, and lemon juice in a blender. Transfer to a small bowl and chill until ready to use.
Preheat oven to 200°F.
Heat 3 inches oil to 350°F in a deep 5-quart pot over medium-high heat.
Meanwhile, whisk together flour, baking powder, cayenne, 1/2 teaspoon salt, and 1/8 teaspoon pepper. Stir together zucchini, jalapeño, chives, and a pinch of salt in another bowl. Add egg, milk, and bacon to zucchini mixture and toss to coat zucchini. Stir in flour mixture until incorporated.
Fry small spoonfuls of batter in batches of about 10, turning occasionally, until golden-brown all over, 3 to 4 minutes per batch. Transfer to a paper-towel-lined baking sheet and keep warm in oven. Return oil to 350°F between batches.
Serve fritters with basil mayo.",zucchini-bacon-fritters-with-basil-mayo-dipping-sauce-357981,"['1 cup basil', '1 cup mayonnaise', '2 tablespoons water', '1 teaspoon fresh lemon juice', 'About 6 cups vegetable oil for frying', '1 1/2 cups all-purpose flour', '1/2 teaspoon baking powder', '1/8 teaspoon cayenne', '3 medium zucchini, chopped', '1/2 fresh jalapeño, stemmed and minced (including seeds)', '2 tablespoons finely chopped chives', '1 large egg, lightly beaten', '3/4 cup whole milk', '6 slices crisp-cooked bacon, finely chopped', 'A deep-fat thermometer']"
"Zucchini, Bacon, and Gruyère Quiche","['1 (9-inch) refrigerated pie dough round (from a 15-oz package)', '1/4 lb sliced bacon, coarsely chopped', '2 medium zucchini (3/4 lb total), halved lengthwise, then cut crosswise into 1/8-inch-thick slices', '1/2 teaspoon salt', '3/4 cup heavy cream', '3/4 cup whole milk', '1/4 teaspoon black pepper', '3 large eggs', '2 oz Gruyère, coarsely grated (1 cup)', 'a 9 1/2-inch deep-dish pie plate']","Put oven rack in middle position and preheat oven to 450°F.
Fit pie dough into pie plate and lightly prick all over. Bake according to package instructions, then transfer crust in pie plate to a rack.
Reduce oven temperature to 350°F.
While crust bakes, cook bacon in a 12-inch heavy skillet over moderately high heat, stirring occasionally, until just crisp, about 6 minutes. Transfer bacon with a slotted spoon to a paper-towel-lined plate, reserving fat in skillet.
Add zucchini and 1/4 teaspoon salt to fat in skillet and sauté over moderately high heat, stirring frequently, until zucchini is tender and starting to brown, about 5 minutes, then transfer with slotted spoon to a plate.
Heat cream, milk, pepper, and remaining 1/4 teaspoon salt in a 1- to 2-quart saucepan until mixture reaches a bare simmer, then remove from heat.
Whisk together eggs in a large heatproof bowl, then gradually whisk in hot cream mixture until combined. Stir in bacon, zucchini, and cheese and pour into piecrust. Bake until filling is just set, 25 to 30 minutes. Transfer quiche in pan to rack to cool slightly, about 20 minutes.",zucchini-bacon-and-gruyere-quiche-233259,"['1 (9-inch) refrigerated pie dough round (from a 15-oz package)', '1/4 lb sliced bacon, coarsely chopped', '2 medium zucchini (3/4 lb total), halved lengthwise, then cut crosswise into 1/8-inch-thick slices', '1/2 teaspoon salt', '3/4 cup heavy cream', '3/4 cup whole milk', '1/4 teaspoon black pepper', '3 large eggs', '2 oz Gruyère, coarsely grated (1 cup)', 'a 9 1/2-inch deep-dish pie plate']"
Zucchini and Saffron Vichyssoise with Scallops,"['2 pounds small (5-inch-long) zucchini', '1 medium onion, chopped', '3 tablespoons unsalted butter', '1 pound boiling potatoes', '1 teaspoon chopped garlic', '1/4 teaspoon finely crumbled saffron threads', '5 cups chicken broth', '1 Turkish or 1/2 California bay leaf', '1/2 teaspoon packed fresh thyme leaves', '1/2 cup chilled heavy cream', '2 teaspoons fresh lemon juice', '1 1/4 teaspoons salt', '1/4 teaspoon black pepper', '4 large sea scallops (4 ounces total), tough muscle removed from side of each if necessary', '1 tablespoon vegetable oil', 'an adjustable-blade slicer fitted with julienne blade']","Thinly julienne zucchini lengthwise with slicer, working around core, into 1/4-inch-thick ribbons. Cut zucchini cores into 1/2-inch pieces.
Peel potatoes and cut into 1/2-inch pieces. Cook onion in butter in a 5-quart heavy pot over moderate heat, stirring occasionally, until softened, about 10 minutes. Add potatoes, garlic, and saffron and cook, stirring, 1 minute. Add broth, bay leaf, and thyme and simmer, uncovered, until potatoes are tender, about 20 minutes. Add chopped zucchini cores and simmer, uncovered, until zucchini is very tender, about 8 minutes.
Purée soup in batches in a blender until very smooth (use caution when blending hot liquids) and pour through a fine sieve into a bowl. Stir in cream, lemon juice, salt, and pepper, then cool to room temperature, uncovered. Chill soup, covered, until cold, at least 4 hours and up to 2 days.
While soup is chilling, cook julienned zucchini in boiling salted water until crisp-tender, about 30 seconds, then drain and transfer to a bowl of ice and cold water. Drain and pat dry with paper towels. Season with salt and pepper and chill, covered.
Before serving soup, cut each scallop horizontally into 3 rounds and pat dry. Heat oil in a large nonstick skillet over high heat until hot but not smoking, then sear scallops until golden brown, 20 to 30 seconds on each side, and season with salt.
Serve soup with zucchini mounded in center, topped with scallop rounds.",zucchini-and-saffron-vichyssoise-with-scallops-107004,"['2 pounds small (5-inch-long) zucchini', '1 medium onion, chopped', '3 tablespoons unsalted butter', '1 pound boiling potatoes', '1 teaspoon chopped garlic', '1/4 teaspoon finely crumbled saffron threads', '5 cups chicken broth', '1 Turkish or 1/2 California bay leaf', '1/2 teaspoon packed fresh thyme leaves', '1/2 cup chilled heavy cream', '2 teaspoons fresh lemon juice', '1 1/4 teaspoons salt', '1/4 teaspoon black pepper', '4 large sea scallops (4 ounces total), tough muscle removed from side of each if necessary', '1 tablespoon vegetable oil', 'an adjustable-blade slicer fitted with julienne blade']"
Zucchini and Red Pepper Enchiladas with Two Salsas,"['1 large white onion, cut crosswise into 1/2-inch-thick rounds', '2 red bell peppers, quartered', '3/4 pound medium zucchini, cut lengthwise into 1/4-inch-thick slices', '12 (6-to 7-inch) soft corn tortillas', '1/2 cup vegetable oil', '6 ounces crumbled queso fresco or ricotta salata', '1 tablespoon finely chopped fresh serrano chile, including seeds', '2 garlic cloves, minced', '1 teaspoon ground cumin', '1 1/3 cups raw green (hulled) pumpkin seeds (pepitas)', '1/2 cup vegetable oil', '2 cups chopped cilantro', '1 1/2 cups water', '2 medium tomatoes, chopped', '1/4 cup finely chopped white onion', '2 teaspoons finely chopped fresh serrano chile, including seeds', '2 tablespoons fresh lime juice', 'Garnish: cilantro leaves']","Prepare a gas grill for direct-heat cooking over medium heat; see Grilling Procedure .
Preheat oven to 350°F .
Secure each onion round with a wooden pick for grilling. Oil grill rack, then grill vegetables, covered, turning occasionally, until tender (6 to 8 minutes for bell peppers and zucchini; 10 to 12 minutes for onion), transferring to a bowl.
Wrap tortillas in stacks of 6 in foil and heat in oven, about 15 minutes.
Cook chile, garlic, cumin, and pumpkin seeds in oil in a 10-inch heavy skillet over medium-high heat, stirring, until seeds pop, 4 to 5 minutes. Transfer 3 tablespoons seeds with a slotted spoon to a bowl and reserve. Purée remaining seeds and oil with cilantro, water, and 1/2 teaspoon salt in a blender until smooth.
Stir together tomatoes, onion, chile, lime juice, and 1/4 teaspoon salt.
Cut vegetables into strips. Spread 2 teaspoons pumpkin-seed salsa on each warm tortilla and top with some of grilled vegetables, then roll up. Heat oil (1/2 cup) in a 12-inch heavy skillet over medium-high heat until it shimmers. Fry enchiladas, seam side down first, in 2 batches, turning once, until lightly browned and heated through, about 2 minutes per batch. Transfer enchiladas to plates, then drizzle with remaining pumpkin-seed salsa and sprinkle with reserved seeds and cheese. Serve with tomato salsa.",zucchini-and-red-pepper-enchiladas-with-two-salsas-354501,"['1 large white onion, cut crosswise into 1/2-inch-thick rounds', '2 red bell peppers, quartered', '3/4 pound medium zucchini, cut lengthwise into 1/4-inch-thick slices', '12 (6-to 7-inch) soft corn tortillas', '1/2 cup vegetable oil', '6 ounces crumbled queso fresco or ricotta salata', '1 tablespoon finely chopped fresh serrano chile, including seeds', '2 garlic cloves, minced', '1 teaspoon ground cumin', '1 1/3 cups raw green (hulled) pumpkin seeds (pepitas)', '1/2 cup vegetable oil', '2 cups chopped cilantro', '1 1/2 cups water', '2 medium tomatoes, chopped', '1/4 cup finely chopped white onion', '2 teaspoons finely chopped fresh serrano chile, including seeds', '2 tablespoons fresh lime juice', 'Garnish: cilantro leaves']"
